Entity,Code,Year,Fertility.rate
Afghanistan,AFG,2010,6.098700047
Africa,,2010,4.858799934
Albania,ALB,2010,1.656399965
Algeria,DZA,2010,2.843400002
American Samoa,ASM,2010,3.336600065
Andorra,AND,2010,1.428799987
Angola,AGO,2010,6.193799973
Anguilla,AIA,2010,1.695799947
Antigua and Barbuda,ATG,2010,1.785400033
Argentina,ARG,2010,2.346199989
Armenia,ARM,2010,1.501000047
Aruba,ABW,2010,1.941200018
Asia,,2010,2.309400082
Australia,AUS,2010,1.950099945
Austria,AUT,2010,1.435199976
Azerbaijan,AZE,2010,2.086299896
Bahamas,BHS,2010,1.834699988
Bahrain,BHR,2010,2.05279994
Bangladesh,BGD,2010,2.33949995
Barbados,BRB,2010,1.68719995
Belarus,BLR,2010,1.49849999
Belgium,BEL,2010,1.85769999
Belize,BLZ,2010,2.605600119
Benin,BEN,2010,5.389699936
Bermuda,BMU,2010,1.74000001
Bhutan,BTN,2010,2.295900106
Bolivia,BOL,2010,3.213200092
Bonaire Sint Eustatius and Saba,BES,2010,1.720199943
Bosnia and Herzegovina,BIH,2010,1.27579999
Botswana,BWA,2010,3.023000002
Brazil,BRA,2010,1.810199976
British Virgin Islands,VGB,2010,1.183300018
Brunei,BRN,2010,1.93659997
Bulgaria,BGR,2010,1.571099997
Burkina Faso,BFA,2010,5.935599804
Burundi,BDI,2010,6.259900093
Cambodia,KHM,2010,2.773600101
Cameroon,CMR,2010,5.160099983
Canada,CAN,2010,1.629600048
Cape Verde,CPV,2010,2.473700047
Cayman Islands,CYM,2010,1.752799988
Central African Republic,CAF,2010,5.936500072
Chad,TCD,2010,6.989999771
Chile,CHL,2010,1.844099998
China,CHN,2010,1.686499953
Colombia,COL,2010,1.991799951
Comoros,COM,2010,4.75880003
Congo,COG,2010,4.822199821
Cook Islands,COK,2010,2.625400066
Costa Rica,CRI,2010,1.927600026
Cote d'Ivoire,CIV,2010,5.087999821
Croatia,HRV,2010,1.545600057
Cuba,CUB,2010,1.692499995
Curacao,CUW,2010,2.191900015
Cyprus,CYP,2010,1.437999964
Czechia,CZE,2010,1.50909996
Democratic Republic of Congo,COD,2010,6.586800098
Denmark,DNK,2010,1.860200047
Djibouti,DJI,2010,3.390300035
Dominica,DMA,2010,1.914600015
Dominican Republic,DOM,2010,2.538500071
Ecuador,ECU,2010,2.614799976
Egypt,EGY,2010,3.21269989
El Salvador,SLV,2010,2.23939991
Equatorial Guinea,GNQ,2010,5.208799839
Eritrea,ERI,2010,4.570799828
Estonia,EST,2010,1.713500023
Eswatini,SWZ,2010,3.356100082
Ethiopia,ETH,2010,5.216800213
Europe,,2010,1.608500004
Faeroe Islands,FRO,2010,2.500499964
Falkland Islands,FLK,2010,1.510699987
Fiji,FJI,2010,2.746500015
Finland,FIN,2010,1.863800049
France,FRA,2010,2.01760006
French Guiana,GUF,2010,3.503499985
French Polynesia,PYF,2010,2.162100077
Gabon,GAB,2010,4.15320015
Gambia,GMB,2010,5.668600082
Georgia,GEO,2010,1.918799996
Germany,DEU,2010,1.392099977
Ghana,GHA,2010,4.206399918
Gibraltar,GIB,2010,1.837800026
Greece,GRC,2010,1.444900036
Greenland,GRL,2010,2.220000029
Grenada,GRD,2010,2.240200043
Guadeloupe,GLP,2010,2.187599897
Guam,GUM,2010,2.972500086
Guatemala,GTM,2010,3.375200033
Guernsey,GGY,2010,1.556300044
Guinea,GIN,2010,5.396900177
Guinea-Bissau,GNB,2010,5.06069994
Guyana,GUY,2010,2.655200005
Haiti,HTI,2010,3.469700098
High-income countries,,2010,1.718099952
Honduras,HND,2010,2.957000017
Hong Kong,HKG,2010,1.118399978
Hungary,HUN,2010,1.254299998
Iceland,ISL,2010,2.190399885
India,IND,2010,2.602999926
Indonesia,IDN,2010,2.451999903
Iran,IRN,2010,1.767699957
Iraq,IRQ,2010,4.429200172
Ireland,IRL,2010,2.056200027
Isle of Man,IMN,2010,2.16989994
Israel,ISR,2010,3.026799917
Italy,ITA,2010,1.450299978
Jamaica,JAM,2010,1.742200017
Japan,JPN,2010,1.387799978
Jersey,JEY,2010,1.703500032
Jordan,JOR,2010,3.77760005
Kazakhstan,KAZ,2010,2.589699984
Kenya,KEN,2010,4.366700172
Kiribati,KIR,2010,3.876100063
Kosovo,OWID_KOS,2010,2.426000118
Kuwait,KWT,2010,2.256599903
Kyrgyzstan,KGZ,2010,3.062400103
Land-locked Developing Countries (LLDC),,2010,4.525899887
Laos,LAO,2010,3.145100117
Latin America and the Caribbean,,2010,2.191499949
Latvia,LVA,2010,1.370200038
Least developed countries,,2010,4.532400131
Lebanon,LBN,2010,2.125699997
Lesotho,LSO,2010,3.24909997
Less developed regions,,2010,2.741100073
"Less developed regions, excluding China",,2010,3.082000017
"Less developed regions, excluding least developed countries",,2010,2.457000017
Liberia,LBR,2010,5.058300018
Libya,LBY,2010,2.602699995
Liechtenstein,LIE,2010,1.437000036
Lithuania,LTU,2010,1.503100038
Low-income countries,,2010,5.377900124
Lower-middle-income countries,,2010,2.986799955
Luxembourg,LUX,2010,1.619899988
Macao,MAC,2010,1.042299986
Madagascar,MDG,2010,4.755300045
Malawi,MWI,2010,5.273799896
Malaysia,MYS,2010,2.143599987
Maldives,MDV,2010,2.317600012
Mali,MLI,2010,6.578800201
Malta,MLT,2010,1.372900009
Marshall Islands,MHL,2010,3.632499933
Martinique,MTQ,2010,2.017199993
Mauritania,MRT,2010,5.042699814
Mauritius,MUS,2010,1.553900003
Mayotte,MYT,2010,4.379399776
Mexico,MEX,2010,2.340199947
Micronesia (country),FSM,2010,3.235599995
Moldova,MDA,2010,1.69780004
Monaco,MCO,2010,2.211299896
Mongolia,MNG,2010,2.512599945
Montenegro,MNE,2010,1.707900047
Montserrat,MSR,2010,1.399799943
More developed regions,,2010,1.685799956
Morocco,MAR,2010,2.585799932
Mozambique,MOZ,2010,5.630099773
Myanmar,MMR,2010,2.345900059
Namibia,NAM,2010,3.630500078
Nauru,NRU,2010,3.907000065
Nepal,NPL,2010,2.511499882
Netherlands,NLD,2010,1.791900039
New Caledonia,NCL,2010,2.168400049
New Zealand,NZL,2010,2.164200068
Nicaragua,NIC,2010,2.600800037
Niger,NER,2010,7.4854002
Nigeria,NGA,2010,5.98029995
Niue,NIU,2010,2.851500034
North Korea,PRK,2010,1.809499979
North Macedonia,MKD,2010,1.548599958
Northern America,,2010,1.903900027
Northern Mariana Islands,MNP,2010,2.921999931
Norway,NOR,2010,1.938899994
Oceania,,2010,2.524800062
Oman,OMN,2010,2.942600012
Pakistan,PAK,2010,4.296599865
Palau,PLW,2010,2.011100054
Palestine,PSE,2010,4.383399963
Panama,PAN,2010,2.603499889
Papua New Guinea,PNG,2010,3.882699966
Paraguay,PRY,2010,2.729500055
Peru,PER,2010,2.572700024
Philippines,PHL,2010,3.264300108
Poland,POL,2010,1.407500029
Portugal,PRT,2010,1.385200024
Puerto Rico,PRI,2010,1.617200017
Qatar,QAT,2010,2.08739996
Reunion,REU,2010,2.373600006
Romania,ROU,2010,1.58130002
Russia,RUS,2010,1.598199964
Rwanda,RWA,2010,4.532299995
Saint Barthlemy,,2010,1.27639997
Saint Helena,SHN,2010,1.634600043
Saint Kitts and Nevis,KNA,2010,1.762099981
Saint Lucia,LCA,2010,1.537700057
Saint Martin (French part),MAF,2010,2.396800041
Saint Pierre and Miquelon,SPM,2010,1.754500031
Saint Vincent and the Grenadines,VCT,2010,2.133399963
Samoa,WSM,2010,4.608399868
San Marino,SMR,2010,1.459200025
Sao Tome and Principe,STP,2010,4.727000237
Saudi Arabia,SAU,2010,2.853499889
Senegal,SEN,2010,5.064199924
Serbia,SRB,2010,1.395300031
Seychelles,SYC,2010,2.199300051
Sierra Leone,SLE,2010,5.326900005
Singapore,SGP,2010,1.160599947
Sint Maarten (Dutch part),SXM,2010,1.845900059
Slovakia,SVK,2010,1.431900024
Slovenia,SVN,2010,1.573600054
Small Island Developing States (SIDS),,2010,2.574399948
Solomon Islands,SLB,2010,4.403699875
Somalia,SOM,2010,7.298600197
South Africa,ZAF,2010,2.4447999
South Korea,KOR,2010,1.216699958
South Sudan,SSD,2010,5.375899792
Spain,ESP,2010,1.375200033
Sri Lanka,LKA,2010,2.196000099
Sudan,SDN,2010,5.017199993
Suriname,SUR,2010,2.609499931
Sweden,SWE,2010,1.975700021
Switzerland,CHE,2010,1.518700004
Syria,SYR,2010,3.403800011
Taiwan,TWN,2010,0.9142000079
Tajikistan,TJK,2010,3.456899881
Tanzania,TZA,2010,5.292900085
Thailand,THA,2010,1.575899959
Timor,TLS,2010,4.845099926
Togo,TGO,2010,5.007400036
Tokelau,TKL,2010,3.286799908
Tonga,TON,2010,3.888600111
Trinidad and Tobago,TTO,2010,1.700799942
Tunisia,TUN,2010,2.104899883
Turkey,TUR,2010,2.136899948
Turkmenistan,TKM,2010,2.832700014
Turks and Caicos Islands,TCA,2010,1.686100006
Tuvalu,TUV,2010,3.489799976
Uganda,UGA,2010,6.070899963
Ukraine,UKR,2010,1.435500026
United Arab Emirates,ARE,2010,1.789700031
United Kingdom,GBR,2010,1.916800022
United States,USA,2010,1.932500005
United States Virgin Islands,VIR,2010,2.480799913
Upper-middle-income countries,,2010,1.876099944
Uruguay,URY,2010,2.010999918
Uzbekistan,UZB,2010,2.440700054
Vanuatu,VUT,2010,4.15019989
Vatican,VAT,2010,1.003100038
Venezuela,VEN,2010,2.47149992
Vietnam,VNM,2010,1.894899964
Wallis and Futuna,WLF,2010,2.092999935
Western Sahara,ESH,2010,2.872699976
World,OWID_WRL,2010,2.586899996
Yemen,YEM,2010,4.85529995
Zambia,ZMB,2010,5.36289978
Zimbabwe,ZWE,2010,4.024799824