"","Entity","Code","Year","Urban.pop"
"51","Afghanistan","AFG",2010,23.73699951
"112","Albania","ALB",2010,52.1629982
"173","Algeria","DZA",2010,67.54000092
"234","American Samoa","ASM",2010,87.59400177
"295","Andorra","AND",2010,88.81900024
"356","Angola","AGO",2010,59.78300095
"417","Antigua and Barbuda","ATG",2010,26.23800087
"478","Argentina","ARG",2010,90.84899902
"539","Armenia","ARM",2010,63.43999863
"600","Aruba","ABW",2010,43.05899811
"661","Australia","AUS",2010,85.18199921
"722","Austria","AUT",2010,57.39899826
"783","Azerbaijan","AZE",2010,53.40599823
"844","Bahamas","BHS",2010,82.42700195
"905","Bahrain","BHR",2010,88.63400269
"966","Bangladesh","BGD",2010,30.46199989
"1027","Barbados","BRB",2010,31.87000084
"1088","Belarus","BLR",2010,74.67199707
"1149","Belgium","BEL",2010,97.65100098
"1210","Belize","BLZ",2010,45.22800064
"1271","Benin","BEN",2010,43.0929985
"1332","Bermuda","BMU",2010,100
"1393","Bhutan","BTN",2010,34.79299927
"1454","Bolivia","BOL",2010,66.43000031
"1515","Bosnia and Herzegovina","BIH",2010,45.55799866
"1576","Botswana","BWA",2010,62.41199875
"1637","Brazil","BRA",2010,84.33499908
"1698","British Virgin Islands","VGB",2010,44.81399918
"1759","Brunei","BRN",2010,74.96099854
"1820","Bulgaria","BGR",2010,72.30200195
"1881","Burkina Faso","BFA",2010,24.63299942
"1942","Burundi","BDI",2010,10.6420002
"2003","Cambodia","KHM",2010,20.29400063
"2064","Cameroon","CMR",2010,51.55899811
"2125","Canada","CAN",2010,80.93699646
"2186","Cape Verde","CPV",2010,61.82099915
"2247","Cayman Islands","CYM",2010,100
"2308","Central African Republic","CAF",2010,38.90399933
"2369","Chad","TCD",2010,21.98500061
"2430","Channel Islands","OWID_CIS",2010,31.05400085
"2491","Chile","CHL",2010,87.0739975
"2552","China","CHN",2010,49.22600174
"2613","Colombia","COL",2010,77.96399689
"2674","Comoros","COM",2010,27.97299957
"2735","Congo","COG",2010,63.25600052
"2796","Costa Rica","CRI",2010,71.73600006
"2857","Cote d'Ivoire","CIV",2010,47.33000183
"2918","Croatia","HRV",2010,55.15499878
"2979","Cuba","CUB",2010,76.59700012
"3040","Curacao","CUW",2010,89.90499878
"3101","Cyprus","CYP",2010,67.5510025
"3162","Czechia","CZE",2010,73.25499725
"3223","Democratic Republic of Congo","COD",2010,40.01300049
"3284","Denmark","DNK",2010,86.79499817
"3345","Djibouti","DJI",2010,76.99900055
"3406","Dominica","DMA",2010,68.09400177
"3467","Dominican Republic","DOM",2010,73.75299835
"3533","Ecuador","ECU",2010,62.68999863
"3594","Egypt","EGY",2010,43.01900101
"3655","El Salvador","SLV",2010,65.45200348
"3716","Equatorial Guinea","GNQ",2010,65.94000244
"3777","Eritrea","ERI",2010,35.17499924
"3829","Estonia","EST",2010,68.09400177
"3890","Eswatini","SWZ",2010,22.47999954
"3951","Ethiopia","ETH",2010,17.31900024
"4012","Faeroe Islands","FRO",2010,40.92599869
"4073","Fiji","FJI",2010,52.17100143
"4134","Finland","FIN",2010,83.76999664
"4195","France","FRA",2010,78.3690033
"4256","French Polynesia","PYF",2010,60.31700134
"4317","Gabon","GAB",2010,85.53299713
"4378","Gambia","GMB",2010,55.66199875
"4439","Georgia","GEO",2010,55.53499985
"4500","Germany","DEU",2010,76.96600342
"4561","Ghana","GHA",2010,50.71300125
"4622","Gibraltar","GIB",2010,100
"4683","Greece","GRC",2010,76.29199982
"4744","Greenland","GRL",2010,84.38300323
"4805","Grenada","GRD",2010,35.86500168
"4866","Guam","GUM",2010,94.09899902
"4927","Guatemala","GTM",2010,48.40299988
"4988","Guinea","GIN",2010,33.6780014
"5049","Guinea-Bissau","GNB",2010,40.11100006
"5110","Guyana","GUY",2010,26.63400078
"5171","Haiti","HTI",2010,47.50899887
"5232","Honduras","HND",2010,51.88499832
"5293","Hong Kong","HKG",2010,100
"5354","Hungary","HUN",2010,68.91100311
"5415","Iceland","ISL",2010,93.5739975
"5476","India","IND",2010,30.93000031
"5537","Indonesia","IDN",2010,49.91400146
"5598","Iran","IRN",2010,70.62599945
"5659","Iraq","IRQ",2010,69.10299683
"5720","Ireland","IRL",2010,61.54199982
"5781","Isle of Man","IMN",2010,51.99399948
"5842","Israel","ISR",2010,91.8259964
"5903","Italy","ITA",2010,68.32700348
"5964","Jamaica","JAM",2010,53.74300003
"6025","Japan","JPN",2010,90.81199646
"6086","Jordan","JOR",2010,86.08799744
"6147","Kazakhstan","KAZ",2010,56.82699966
"6208","Kenya","KEN",2010,23.57099915
"6269","Kiribati","KIR",2010,47.38999939
"6330","Kuwait","KWT",2010,100
"6391","Kyrgyzstan","KGZ",2010,35.30599976
"6452","Laos","LAO",2010,30.06399918
"6513","Latvia","LVA",2010,67.84100342
"6574","Lebanon","LBN",2010,87.33399963
"6635","Lesotho","LSO",2010,24.79800034
"6696","Liberia","LBR",2010,47.81299973
"6757","Libya","LBY",2010,78.05200195
"6818","Liechtenstein","LIE",2010,14.46399975
"6879","Lithuania","LTU",2010,66.75700378
"6940","Luxembourg","LUX",2010,88.54699707
"7001","Macao","MAC",2010,100
"7062","Madagascar","MDG",2010,31.93799973
"7123","Malawi","MWI",2010,15.54399967
"7184","Malaysia","MYS",2010,70.91200256
"7245","Maldives","MDV",2010,36.43399811
"7306","Mali","MLI",2010,35.99900055
"7367","Malta","MLT",2010,94.0719986
"7428","Marshall Islands","MHL",2010,73.56800079
"7489","Mauritania","MRT",2010,46.58800125
"7550","Mauritius","MUS",2010,41.55500031
"7611","Mexico","MEX",2010,77.81500244
"7672","Micronesia (country)","FSM",2010,22.29800034
"7733","Moldova","MDA",2010,42.61999893
"7794","Monaco","MCO",2010,100
"7855","Mongolia","MNG",2010,67.56700134
"7916","Montenegro","MNE",2010,64.13999939
"7977","Morocco","MAR",2010,58.01800156
"8038","Mozambique","MOZ",2010,31.82999992
"8099","Myanmar","MMR",2010,28.88500023
"8160","Namibia","NAM",2010,41.61600113
"8221","Nauru","NRU",2010,100
"8282","Nepal","NPL",2010,16.76799965
"8343","Netherlands","NLD",2010,87.13400269
"8404","New Caledonia","NCL",2010,67.10199738
"8465","New Zealand","NZL",2010,86.16000366
"8526","Nicaragua","NIC",2010,56.91699982
"8587","Niger","NER",2010,16.22100067
"8648","Nigeria","NGA",2010,43.47999954
"8709","North Korea","PRK",2010,60.3769989
"8770","North Macedonia","MKD",2010,57.0890007
"8831","Northern Mariana Islands","MNP",2010,90.9489975
"8892","Norway","NOR",2010,79.10199738
"8953","Oman","OMN",2010,75.16100311
"9014","Pakistan","PAK",2010,34.99700165
"9075","Palau","PLW",2010,74.81700134
"9136","Palestine","PSE",2010,74.14900208
"9197","Panama","PAN",2010,65.13999939
"9258","Papua New Guinea","PNG",2010,13.01900005
"9319","Paraguay","PRY",2010,59.26100159
"9380","Peru","PER",2010,76.43000031
"9441","Philippines","PHL",2010,45.33200073
"9502","Poland","POL",2010,60.89199829
"9563","Portugal","PRT",2010,60.56700134
"9624","Puerto Rico","PRI",2010,93.82499695
"9685","Qatar","QAT",2010,98.50099945
"9746","Romania","ROU",2010,53.82899857
"9807","Russia","RUS",2010,73.68699646
"9868","Rwanda","RWA",2010,16.93400002
"9929","Saint Kitts and Nevis","KNA",2010,31.3220005
"9990","Saint Lucia","LCA",2010,18.45000076
"10051","Saint Vincent and the Grenadines","VCT",2010,48.96099854
"10112","Samoa","WSM",2010,20.07799911
"10173","San Marino","SMR",2010,95.73999786
"10234","Sao Tome and Principe","STP",2010,64.95200348
"10295","Saudi Arabia","SAU",2010,82.08399963
"10356","Senegal","SEN",2010,43.77299881
"10417","Serbia","SRB",2010,54.99300003
"10478","Seychelles","SYC",2010,53.33599854
"10539","Sierra Leone","SLE",2010,38.85599899
"10600","Singapore","SGP",2010,100
"10661","Sint Maarten (Dutch part)","SXM",2010,100
"10722","Slovakia","SVK",2010,54.68500137
"10783","Slovenia","SVN",2010,52.65800095
"10844","Solomon Islands","SLB",2010,20.04800034
"10905","Somalia","SOM",2010,39.31000137
"10966","South Africa","ZAF",2010,62.2179985
"11027","South Korea","KOR",2010,81.93599701
"11088","South Sudan","SSD",2010,17.86000061
"11149","Spain","ESP",2010,78.44200134
"11210","Sri Lanka","LKA",2010,18.22599983
"11271","Sub-Saharan Africa","",2010,35.99838257
"11332","Sudan","SDN",2010,33.0890007
"11393","Suriname","SUR",2010,66.34400177
"11454","Sweden","SWE",2010,85.05599976
"11515","Switzerland","CHE",2010,73.60700226
"11576","Syria","SYR",2010,55.59999847
"11637","Tajikistan","TJK",2010,26.52000046
"11698","Tanzania","TZA",2010,28.11400032
"11759","Thailand","THA",2010,43.85599899
"11820","Timor","TLS",2010,27.73200035
"11881","Togo","TGO",2010,37.53300095
"11942","Tonga","TON",2010,23.38899994
"12003","Trinidad and Tobago","TTO",2010,54.02500153
"12064","Tunisia","TUN",2010,66.65699768
"12125","Turkey","TUR",2010,70.82499695
"12186","Turkmenistan","TKM",2010,48.49100113
"12247","Turks and Caicos Islands","TCA",2010,90.22799683
"12308","Tuvalu","TUV",2010,54.79600143
"12369","Uganda","UGA",2010,19.38299942
"12430","Ukraine","UKR",2010,68.59600067
"12491","United Arab Emirates","ARE",2010,84.08699799
"12552","United Kingdom","GBR",2010,81.30200195
"12613","United States","USA",2010,80.77200317
"12674","United States Virgin Islands","VIR",2010,94.59400177
"12734","Uruguay","URY",2010,94.41400146
"12795","Uzbekistan","UZB",2010,50.95600128
"12856","Vanuatu","VUT",2010,24.46199989
"12917","Venezuela","VEN",2010,88.08300018
"12978","Vietnam","VNM",2010,30.41699982
"13039","Yemen","YEM",2010,31.77599907
"13100","Zambia","ZMB",2010,39.35499954
"13161","Zimbabwe","ZWE",2010,33.19599915
